"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTPRN3",4.92134440578183e-16,0.665139950209756,0.978,0.616,1.27708887330038e-11,"5","PTPRN"
"DDR11",5.95327238922765e-16,0.713960776655513,0.906,0.605,1.54487418500458e-11,"5","DDR1"
"C1QL11",7.89081189783475e-16,1.11698201376858,0.616,0.308,2.04766568748812e-11,"5","C1QL1"
"MT-ND3",7.89284616936264e-16,0.469711082449994,0.993,0.956,2.0481935809496e-11,"5","MT-ND3"
"NFASC1",9.41086123418494e-16,0.525176596536543,0.471,0.179,2.44211849027099e-11,"5","NFASC"
"MT-CO31",9.68896735043746e-16,0.386058564941258,1,0.99,2.51428702743852e-11,"5","MT-CO3"
"INPP5F",1.37901837840963e-15,0.55983906625058,0.326,0.099,3.57855269197299e-11,"5","INPP5F"
"FGF14",1.6799533746074e-15,0.670697692432076,0.348,0.114,4.35947900710621e-11,"5","FGF14"
"GJD2",2.09028034652631e-15,0.498615948251299,0.268,0.069,5.42427749923576e-11,"5","GJD2"
"GABRB3",2.68138759177901e-15,0.5361926534794,0.355,0.115,6.95820080066652e-11,"5","GABRB3"
"EEF1A21",4.32221973925652e-15,0.718232182175798,0.732,0.414,1.12161602233707e-10,"5","EEF1A2"
"UNC80",9.31580745854033e-15,0.462177429251784,0.319,0.098,2.41745203549121e-10,"5","UNC80"
"DUSP26",2.33046909616534e-14,0.61654675361393,0.486,0.203,6.04756730454906e-10,"5","DUSP26"
"VAMP2",2.81544147649705e-14,0.531411724446941,0.935,0.623,7.30607063150984e-10,"5","VAMP2"
"ID1",2.94355888106724e-14,1.19042731221503,0.623,0.335,7.63853529636949e-10,"5","ID1"
"CAMK2B1",4.91250709868353e-14,0.614578824043876,0.572,0.268,1.27479559210838e-09,"5","CAMK2B"
"MTATP6P11",6.25339534186564e-14,0.571194431391172,0.993,0.842,1.62275609121413e-09,"5","MTATP6P1"
"MT-ND21",6.57038961777937e-14,0.346694341742783,1,0.982,1.70501610581375e-09,"5","MT-ND2"
"SPTB",6.88065464063493e-14,0.40199863265188,0.268,0.075,1.78552987924477e-09,"5","SPTB"
"SYT71",7.294123453652e-14,0.698691677387129,0.746,0.408,1.89282503622269e-09,"5","SYT7"
"MT-ND1",7.42035370910445e-14,0.329027182639598,1,0.992,1.92558178751261e-09,"5","MT-ND1"
"CDK5R21",8.64197517277023e-14,0.633125367658233,0.58,0.277,2.24259255733388e-09,"5","CDK5R2"
"ATP2A3",1.04840290635263e-13,0.547775601479971,0.413,0.158,2.72060554198507e-09,"5","ATP2A3"
"PAM1",1.08638452009727e-13,0.710364598148544,0.826,0.541,2.81916782965241e-09,"5","PAM"
"SLC43A2",1.28058057463922e-13,1.03885922707514,0.507,0.242,3.32310659118877e-09,"5","SLC43A2"
"KCNJ11",1.54218093469612e-13,0.521958180591029,0.362,0.129,4.00195952553643e-09,"5","KCNJ11"
"MAPK8IP1",2.09258323394074e-13,0.543608308845864,0.435,0.18,5.43025349207622e-09,"5","MAPK8IP1"
"ACVR1B",2.2452912798304e-13,0.498490768287666,0.261,0.077,5.8265308711599e-09,"5","ACVR1B"
"RGS91",2.61962286619267e-13,0.571444349011638,0.435,0.181,6.79792133776997e-09,"5","RGS9"
"MTURN",2.82712708948376e-13,0.468045111672442,0.341,0.119,7.33639479721035e-09,"5","MTURN"
"MAP9",3.10369453034668e-13,0.487142661440964,0.254,0.073,8.05408730624963e-09,"5","MAP9"
"PLCXD3",4.3686725144108e-13,0.644565536945914,0.37,0.14,1.1336705174896e-08,"5","PLCXD3"
"PPL",9.75779345483109e-13,0.739971325899184,0.558,0.277,2.53214740152867e-08,"5","PPL"
"ITPR32",9.97793837412819e-13,0.572511916186185,0.362,0.139,2.58927500808626e-08,"5","ITPR3"
"CEP41",1.60704336967251e-12,0.450233331863032,0.283,0.092,4.17027754430016e-08,"5","CEP41"
"BTG3",1.73899458599731e-12,0.575074803348748,0.428,0.183,4.51269095066302e-08,"5","BTG3"
"SST1",2.11963646792514e-12,1.98620604751682,0.978,0.945,5.50045663426575e-08,"5","SST"
"MAP2",2.31376385064616e-12,0.58743879955588,0.384,0.155,6.0042171924268e-08,"5","MAP2"
"C11orf49",4.5157783676282e-12,0.48780437636715,0.391,0.16,1.17184448639952e-07,"5","C11orf49"
"SV2A1",4.62408341663761e-12,0.522087067642724,0.442,0.195,1.19994964661746e-07,"5","SV2A"
"CIRBP",4.66958216506622e-12,0.46251824753508,0.87,0.642,1.21175657183468e-07,"5","CIRBP"
"OGDHL",5.32616977705035e-12,0.42524570009456,0.283,0.091,1.38214105714457e-07,"5","OGDHL"
"GPAT4",5.81323426273229e-12,0.569338877420425,0.399,0.172,1.50853429117903e-07,"5","GPAT4"
"CYFIP2",7.1171863150692e-12,0.460686239122766,0.348,0.13,1.84690984876046e-07,"5","CYFIP2"
"C14orf132",7.90665165448922e-12,0.466026098351822,0.449,0.195,2.05177610433995e-07,"5","C14orf132"
"TPPP3",8.10251581941488e-12,0.762184069594273,0.493,0.237,2.10260285513816e-07,"5","TPPP3"
